assignees__assignee_organization,assignees__assignee_lastknown_state,assignees__assignee_lastknown_latitude,assignees__assignee_lastknown_longitude,assignees__assignee_total_num_patents,assignees__assignee_lastknown_city,count
International Business Machines Corporation,NY,41.1264,-73.7144,131150,Armonk,250
General Electric Company,NY,42.8142,-73.94,45040,Schenectady,
Intel Corporation,CA,37.3542,-121.954,39234,Santa Clara,
"Hewlett-Packard Development Company, L.P.",TX,30.0797,-95.4169,34045,Spring,
Microsoft Corporation,WA,47.6742,-122.12,30044,Redmond,
"Micron Technology, Inc.",ID,43.6136,-116.202,26721,Boise,
Texas Instruments Incorporated,TX,32.7833,-96.8,23192,Dallas,
Xerox Corporation,CT,41.1175,-73.4083,22951,Norwalk,
QUALCOMM Incorporated,CA,32.7153,-117.156,22551,San Diego,
Eastman Kodak Company,NY,43.1547,-77.6158,21522,Rochester,
"Motorola, Inc.",FL,26.525,-80.0667,20325,Boynton Beach,
Apple Inc.,CA,37.3231,-122.031,19255,Cupertino,
Google Inc.,CA,37.3861,-122.083,19008,Mountain View,
E. I. Du Pont de Nemours and Company,DE,39.7458,-75.5469,16440,Wilmington,
"Ford Global Technologies, LLC",MI,42.3222,-83.1764,15811,Dearborn,
The Boeing Company,IL,41.85,-87.65,15672,Chicago,
Honeywell International Inc.,NJ,40.8217,-74.4814,15544,Morris Plains,
The Procter & Gamble Company,OH,39.1619,-84.4569,14308,Cincinnati,
"Cisco Technology, Inc.",CA,37.3394,-121.894,14270,San Jose,
The United States of America as represented by the Secretary of the Navy,VA,38.8903,-77.0844,14014,Arlington,
GM Global Technology Operations LLC,MI,42.3314,-83.0458,12972,Detroit,
"AT&T Intellectual Property I, L.P.",GA,33.7489,-84.3881,11736,Atlanta,
The Regents of the University of California,CA,37.8044,-122.27,11734,Oakland,
BASF Aktiengesellschaft,NJ,40.7878,-74.3886,11331,Florham Park,
General Motors Corporation,MI,42.3314,-83.0458,11198,Detroit,
"Advanced Micro Devices, Inc.",CA,37.3542,-121.954,11051,Santa Clara,
3M Innovative Properties Company,MN,44.9537,-93.09,11045,St. Paul,
Broadcom Corporation,CA,33.6694,-117.822,10964,Irvine,
"Amazon Technologies, Inc.",WA,47.6064,-122.331,10521,Seattle,
STMicroelectronics S.r.l.,TX,32.9544,-97.0147,9856,Coppell,
United Technologies Corporation,CT,41.7197,-72.8325,9697,Farmington,
