"assignees__assignee_organization","assignees__assignee_total_num_patents","count","total_assignee_count"
"Hewlett-Packard Development Company, L.P.","34045","100","4597"
"Texas Instruments Incorporated","23192","",""
"STMicroelectronics S.r.l.","9856","",""
"Schlumberger Technology Corporation","7979","",""
"Shell Oil Company","7415","",""
"Halliburton Energy Services, Inc.","7020","",""
"Baker Hughes Incorporated","5714","",""
"Freescale Semiconductor, Inc.","5529","",""
"Dell Products L.P.","4915","",""
"Board of Regents, The University of Texas System","3042","",""
"SanDisk Technologies Inc.","2700","",""
"ExxonMobil Chemical Patents Inc.","2659","",""
"Futurewei Technologies, Inc.","2265","",""
"Toyota Motor Engineering & Manufacturing North America, Inc.","2038","",""
"Cirrus Logic, Inc.","1646","",""
"Halliburton Company","1516","",""
"Cooper Technologies Company","1396","",""
"Smith International, Inc.","1389","",""
"Silicon Laboratories Inc.","1297","",""
"Weatherford/Lamb, Inc.","1250","",""
"NXP USA, Inc.","1247","",""
"ExxonMobil Upstream Research Company","1053","",""
"National Instruments Corporation","1030","",""
"Southwest Research Institute","951","",""
"The Board of Regents of the University of Texas System","914","",""
"JPMorgan Chase Bank, N.A.","867","",""
"The Texas A&M University System","865","",""
"United Services Automobile Association (USAA)","857","",""
"Cameron International Corporation","727","",""
"Chevron Phillips Chemical Company LP","717","",""
"KCI Licensing, Inc.","683","",""
"ConocoPhillips Company","658","",""
"BAKER HUGHES, A GE COMPANY, LLC","652","",""
"Fina Technology, Inc.","639","",""
"WesternGeco L.L.C.","637","",""
"Bell Helicopter Textron Inc.","624","",""
"Fisher-Rosemount Systems, Inc.","554","",""
"Celanese International Corporation","480","",""
"Baylor College of Medicine","469","",""
"M-I L.L.C.","466","",""
"Occidental Chemical Corporation","455","",""
"Weatherford Technology Holdings, LLC","455","",""
"National Oilwell Varco, L.P.","443","",""
"Vetco Gray Inc.","439","",""
"Lennox Industries Inc.","438","",""
"William Marsh Rice University","431","",""
"Alcon Laboratories, Inc.","422","",""
"Univation Technologies, LLC","414","",""
"BP Corporation North America Inc.","407","",""
"Marathon Oil Company","399","",""
"Equistar Chemicals, LP","389","",""
"University of Houston","348","",""
"Alcon Research, Ltd.","344","",""
"BMC Software, Inc.","340","",""
"Frito-Lay North America, Inc.","340","",""
"Landmark Graphics Corporation","324","",""
"Advanced Neuromodulation Systems, Inc.","311","",""
"FMC Technologies, Inc.","300","",""
"Doskocil Manufacturing Company, Inc.","294","",""
"ArthroCare Corporation","289","",""
"Magpul Industries Corporation","284","",""
"Mary Kay Inc.","276","",""
"YETI Coolers, LLC","269","",""
"Hydril Company","256","",""
"Rockstar Consortium US LP","254","",""
"Cyberonics, Inc.","250","",""
"Building Materials Investment Corporation","248","",""
"Huntsman International LLC","227","",""
"Huntsman Petrochemical Corporation","221","",""
"Sigmatel, Inc.","218","",""
"Phillips 66 Company","213","",""
"Molecular Imprints, Inc.","203","",""
"Fluor Technologies Corporation","203","",""
"Innovation First, Inc.","197","",""
"Siemens Product Lifecycle Management Software Inc.","193","",""
"Genband US LLC","192","",""
"Kellogg Brown & Root LLC","192","",""
"Conduent Business Services, LLC","190","",""
"Technologies Holdings Corp.","188","",""
"Varco I/P, Inc.","187","",""
"Catalytic Distillation Technologies","184","",""
"Kraton Polymers U.S. LLC","180","",""
"Lyondell Chemical Technology, L.P.","171","",""
"Overhead Door Corporation","171","",""
"Dresser, Inc.","171","",""
"ZTE (USA) Inc.","164","",""
"Oceaneering International, Inc.","155","",""
"United Services Automobile Association","149","",""
"Luminex Corporation","145","",""
"Securus Technologies, Inc.","140","",""
"Lancer Partnership, Ltd.","137","",""
"Minigrip, Inc.","137","",""
"Headwater Partners I LLC","136","",""
"Multimedia Games, Inc.","136","",""
"International Development LLC","132","",""
"The Brinkmann Corporation","129","",""
"Applied Optoelectronics, Inc.","128","",""
"Seven Networks, LLC","127","",""
"Victor Equipment Company","125","",""
"Craftmade International, Inc.","124","",""
