"assignees__assignee_organization","assignees__assignee_lastknown_country","assignees__assignee_lastknown_state","assignees__assignee_lastknown_latitude","assignees__assignee_lastknown_longitude","assignees__assignee_total_num_patents","assignees__assignee_lastknown_city","assignees__years__year_num_patents_for_assignee","assignees__years__year_id","count","total_assignee_count"
"International Business Machines Corporation","US","NY","41.1264","-73.7144","131150","Armonk","9099","2018","10","47896"
"","","","","","","","6999","2019","",""
"","","","","","","","439","1976","",""
"","","","","","","","485","1977","",""
"","","","","","","","461","1978","",""
"","","","","","","","334","1979","",""
"","","","","","","","390","1980","",""
"","","","","","","","505","1981","",""
"","","","","","","","436","1982","",""
"","","","","","","","468","1983","",""
"","","","","","","","599","1984","",""
"","","","","","","","578","1985","",""
"","","","","","","","617","1986","",""
"","","","","","","","610","1987","",""
"","","","","","","","562","1988","",""
"","","","","","","","634","1989","",""
"","","","","","","","623","1990","",""
"","","","","","","","687","1991","",""
"","","","","","","","843","1992","",""
"","","","","","","","1121","1993","",""
"","","","","","","","1345","1994","",""
"","","","","","","","1460","1995","",""
"","","","","","","","1910","1996","",""
"","","","","","","","1760","1997","",""
"","","","","","","","2665","1998","",""
"","","","","","","","2802","1999","",""
"","","","","","","","2933","2000","",""
"","","","","","","","3451","2001","",""
"","","","","","","","3336","2002","",""
"","","","","","","","3422","2003","",""
"","","","","","","","3270","2004","",""
"","","","","","","","2978","2005","",""
"","","","","","","","3650","2006","",""
"","","","","","","","3151","2007","",""
"","","","","","","","4195","2008","",""
"","","","","","","","4907","2009","",""
"","","","","","","","5890","2010","",""
"","","","","","","","6180","2011","",""
"","","","","","","","6474","2012","",""
"","","","","","","","6813","2013","",""
"","","","","","","","7541","2014","",""
"","","","","","","","7376","2015","",""
"","","","","","","","8106","2016","",""
"","","","","","","","9045","2017","",""
"Samsung Electronics Co., Ltd.","KR","null","37.2636","127.047","86073","Suwon-si","6564","2018","",""
"","","","","","","","4378","2019","",""
"","","","","","","","1","1984","",""
"","","","","","","","5","1987","",""
"","","","","","","","3","1988","",""
"","","","","","","","23","1989","",""
"","","","","","","","47","1990","",""
"","","","","","","","132","1991","",""
"","","","","","","","239","1992","",""
"","","","","","","","327","1993","",""
"","","","","","","","395","1994","",""
"","","","","","","","432","1995","",""
"","","","","","","","492","1996","",""
"","","","","","","","580","1997","",""
"","","","","","","","1257","1998","",""
"","","","","","","","1360","1999","",""
"","","","","","","","1112","2000","",""
"","","","","","","","1059","2001","",""
"","","","","","","","1335","2002","",""
"","","","","","","","1315","2003","",""
"","","","","","","","1616","2004","",""
"","","","","","","","1720","2005","",""
"","","","","","","","2705","2006","",""
"","","","","","","","3340","2007","",""
"","","","","","","","4268","2008","",""
"","","","","","","","4077","2009","",""
"","","","","","","","4942","2010","",""
"","","","","","","","5228","2011","",""
"","","","","","","","5464","2012","",""
"","","","","","","","5199","2013","",""
"","","","","","","","5835","2014","",""
"","","","","","","","6522","2015","",""
"","","","","","","","7187","2016","",""
"","","","","","","","6913","2017","",""
"","","","","","","","1","1985","",""
"Canon Kabushiki Kaisha","JP","null","35.685","139.751","72345","Tokyo","3097","2018","",""
"","","","","","","","2247","2019","",""
"","","","","","","","152","1976","",""
"","","","","","","","160","1977","",""
"","","","","","","","164","1978","",""
"","","","","","","","154","1979","",""
"","","","","","","","174","1980","",""
"","","","","","","","282","1981","",""
"","","","","","","","312","1982","",""
"","","","","","","","338","1983","",""
"","","","","","","","406","1984","",""
"","","","","","","","429","1985","",""
"","","","","","","","544","1986","",""
"","","","","","","","815","1987","",""
"","","","","","","","737","1988","",""
"","","","","","","","981","1989","",""
"","","","","","","","908","1990","",""
"","","","","","","","904","1991","",""
"","","","","","","","1182","1992","",""
"","","","","","","","1106","1993","",""
"","","","","","","","1161","1994","",""
"","","","","","","","1159","1995","",""
"","","","","","","","1615","1996","",""
"","","","","","","","1453","1997","",""
"","","","","","","","1917","1998","",""
"","","","","","","","1838","1999","",""
"","","","","","","","1937","2000","",""
"","","","","","","","1962","2001","",""
"","","","","","","","1952","2002","",""
"","","","","","","","2058","2003","",""
"","","","","","","","1852","2004","",""
"","","","","","","","1846","2005","",""
"","","","","","","","2398","2006","",""
"","","","","","","","2001","2007","",""
"","","","","","","","2129","2008","",""
"","","","","","","","2214","2009","",""
"","","","","","","","2568","2010","",""
"","","","","","","","2846","2011","",""
"","","","","","","","3195","2012","",""
"","","","","","","","3866","2013","",""
"","","","","","","","4097","2014","",""
"","","","","","","","4168","2015","",""
"","","","","","","","3689","2016","",""
"","","","","","","","3332","2017","",""
"Sony Corporation","JP","null","35.685","139.751","51013","Tokyo","1757","2018","",""
"","","","","","","","1377","2019","",""
"","","","","","","","214","1976","",""
"","","","","","","","175","1977","",""
"","","","","","","","131","1978","",""
"","","","","","","","126","1979","",""
"","","","","","","","166","1980","",""
"","","","","","","","148","1981","",""
"","","","","","","","140","1982","",""
"","","","","","","","159","1983","",""
"","","","","","","","213","1984","",""
"","","","","","","","254","1985","",""
"","","","","","","","239","1986","",""
"","","","","","","","355","1987","",""
"","","","","","","","319","1988","",""
"","","","","","","","344","1989","",""
"","","","","","","","279","1990","",""
"","","","","","","","357","1991","",""
"","","","","","","","444","1992","",""
"","","","","","","","584","1993","",""
"","","","","","","","656","1994","",""
"","","","","","","","683","1995","",""
"","","","","","","","849","1996","",""
"","","","","","","","820","1997","",""
"","","","","","","","1253","1998","",""
"","","","","","","","1475","1999","",""
"","","","","","","","1456","2000","",""
"","","","","","","","1501","2001","",""
"","","","","","","","1626","2002","",""
"","","","","","","","1513","2003","",""
"","","","","","","","1501","2004","",""
"","","","","","","","1311","2005","",""
"","","","","","","","1984","2006","",""
"","","","","","","","1707","2007","",""
"","","","","","","","1724","2008","",""
"","","","","","","","1864","2009","",""
"","","","","","","","2256","2010","",""
"","","","","","","","2380","2011","",""
"","","","","","","","3153","2012","",""
"","","","","","","","3227","2013","",""
"","","","","","","","3316","2014","",""
"","","","","","","","2528","2015","",""
"","","","","","","","2254","2016","",""
"","","","","","","","2195","2017","",""
"Kabushiki Kaisha Toshiba","JP","null","35.685","139.751","48137","Tokyo","1108","2018","",""
"","","","","","","","751","2019","",""
"","","","","","","","7","1981","",""
"","","","","","","","1","1982","",""
"","","","","","","","1","1983","",""
"","","","","","","","4","1984","",""
"","","","","","","","30","1985","",""
"","","","","","","","262","1986","",""
"","","","","","","","666","1987","",""
"","","","","","","","726","1988","",""
"","","","","","","","964","1989","",""
"","","","","","","","944","1990","",""
"","","","","","","","1077","1991","",""
"","","","","","","","1078","1992","",""
"","","","","","","","1084","1993","",""
"","","","","","","","1003","1994","",""
"","","","","","","","997","1995","",""
"","","","","","","","937","1996","",""
"","","","","","","","892","1997","",""
"","","","","","","","1229","1998","",""
"","","","","","","","1206","1999","",""
"","","","","","","","1256","2000","",""
"","","","","","","","1201","2001","",""
"","","","","","","","1220","2002","",""
"","","","","","","","1286","2003","",""
"","","","","","","","1390","2004","",""
"","","","","","","","1306","2005","",""
"","","","","","","","1769","2006","",""
"","","","","","","","1613","2007","",""
"","","","","","","","1657","2008","",""
"","","","","","","","1732","2009","",""
"","","","","","","","2333","2010","",""
"","","","","","","","2565","2011","",""
"","","","","","","","2488","2012","",""
"","","","","","","","2456","2013","",""
"","","","","","","","2655","2014","",""
"","","","","","","","2673","2015","",""
"","","","","","","","1991","2016","",""
"","","","","","","","1579","2017","",""
"General Electric Company","US","NY","42.8142","-73.94","45040","Schenectady","1680","2018","",""
"","","","","","","","1079","2019","",""
"","","","","","","","795","1976","",""
"","","","","","","","812","1977","",""
"","","","","","","","825","1978","",""
"","","","","","","","610","1979","",""
"","","","","","","","763","1980","",""
"","","","","","","","920","1981","",""
"","","","","","","","737","1982","",""
"","","","","","","","647","1983","",""
"","","","","","","","787","1984","",""
"","","","","","","","789","1985","",""
"","","","","","","","721","1986","",""
"","","","","","","","786","1987","",""
"","","","","","","","711","1988","",""
"","","","","","","","840","1989","",""
"","","","","","","","816","1990","",""
"","","","","","","","841","1991","",""
"","","","","","","","944","1992","",""
"","","","","","","","937","1993","",""
"","","","","","","","971","1994","",""
"","","","","","","","757","1995","",""
"","","","","","","","822","1996","",""
"","","","","","","","665","1997","",""
"","","","","","","","733","1998","",""
"","","","","","","","698","1999","",""
"","","","","","","","791","2000","",""
"","","","","","","","1110","2001","",""
"","","","","","","","1417","2002","",""
"","","","","","","","1142","2003","",""
"","","","","","","","980","2004","",""
"","","","","","","","898","2005","",""
"","","","","","","","1045","2006","",""
"","","","","","","","918","2007","",""
"","","","","","","","921","2008","",""
"","","","","","","","980","2009","",""
"","","","","","","","1231","2010","",""
"","","","","","","","1473","2011","",""
"","","","","","","","1664","2012","",""
"","","","","","","","1758","2013","",""
"","","","","","","","1873","2014","",""
"","","","","","","","1806","2015","",""
"","","","","","","","1697","2016","",""
"","","","","","","","1650","2017","",""
"Hitachi, Ltd.","JP","null","35.685","139.751","43757","Tokyo","595","2018","",""
"","","","","","","","413","2019","",""
"","","","","","","","65","1976","",""
"","","","","","","","46","1977","",""
"","","","","","","","60","1978","",""
"","","","","","","","65","1979","",""
"","","","","","","","102","1980","",""
"","","","","","","","437","1981","",""
"","","","","","","","510","1982","",""
"","","","","","","","464","1983","",""
"","","","","","","","651","1984","",""
"","","","","","","","740","1985","",""
"","","","","","","","778","1986","",""
"","","","","","","","923","1987","",""
"","","","","","","","1135","1989","",""
"","","","","","","","964","1988","",""
"","","","","","","","991","1990","",""
"","","","","","","","1034","1991","",""
"","","","","","","","1065","1992","",""
"","","","","","","","1037","1993","",""
"","","","","","","","1065","1994","",""
"","","","","","","","963","1995","",""
"","","","","","","","1012","1996","",""
"","","","","","","","944","1997","",""
"","","","","","","","1145","1998","",""
"","","","","","","","1052","1999","",""
"","","","","","","","1097","2000","",""
"","","","","","","","1363","2001","",""
"","","","","","","","1723","2002","",""
"","","","","","","","2022","2003","",""
"","","","","","","","1676","2004","",""
"","","","","","","","1418","2005","",""
"","","","","","","","1929","2006","",""
"","","","","","","","1544","2007","",""
"","","","","","","","1478","2008","",""
"","","","","","","","1199","2009","",""
"","","","","","","","1670","2010","",""
"","","","","","","","1673","2011","",""
"","","","","","","","1661","2012","",""
"","","","","","","","1321","2013","",""
"","","","","","","","1206","2014","",""
"","","","","","","","957","2015","",""
"","","","","","","","826","2016","",""
"","","","","","","","738","2017","",""
"Intel Corporation","US","CA","37.3542","-121.954","39234","Santa Clara","3229","2018","",""
"","","","","","","","2197","2019","",""
"","","","","","","","17","1976","",""
"","","","","","","","21","1977","",""
"","","","","","","","17","1978","",""
"","","","","","","","10","1979","",""
"","","","","","","","7","1980","",""
"","","","","","","","14","1981","",""
"","","","","","","","12","1982","",""
"","","","","","","","16","1983","",""
"","","","","","","","24","1984","",""
"","","","","","","","16","1985","",""
"","","","","","","","15","1986","",""
"","","","","","","","24","1987","",""
"","","","","","","","33","1988","",""
"","","","","","","","49","1989","",""
"","","","","","","","45","1990","",""
"","","","","","","","59","1991","",""
"","","","","","","","75","1992","",""
"","","","","","","","128","1993","",""
"","","","","","","","206","1994","",""
"","","","","","","","275","1995","",""
"","","","","","","","423","1996","",""
"","","","","","","","407","1997","",""
"","","","","","","","710","1998","",""
"","","","","","","","746","1999","",""
"","","","","","","","805","2000","",""
"","","","","","","","815","2001","",""
"","","","","","","","1091","2002","",""
"","","","","","","","1601","2003","",""
"","","","","","","","1607","2004","",""
"","","","","","","","1553","2005","",""
"","","","","","","","1968","2006","",""
"","","","","","","","1871","2007","",""
"","","","","","","","1774","2008","",""
"","","","","","","","1539","2009","",""
"","","","","","","","1657","2010","",""
"","","","","","","","1242","2011","",""
"","","","","","","","1291","2012","",""
"","","","","","","","1473","2013","",""
"","","","","","","","1614","2014","",""
"","","","","","","","2114","2015","",""
"","","","","","","","3016","2016","",""
"","","","","","","","3428","2017","",""
"Fujitsu Limited","JP","null","35.5298","139.702","35869","Kawasaki","1048","2018","",""
"","","","","","","","624","2019","",""
"","","","","","","","19","1976","",""
"","","","","","","","28","1977","",""
"","","","","","","","29","1978","",""
"","","","","","","","10","1979","",""
"","","","","","","","26","1980","",""
"","","","","","","","57","1981","",""
"","","","","","","","110","1982","",""
"","","","","","","","151","1983","",""
"","","","","","","","181","1984","",""
"","","","","","","","189","1985","",""
"","","","","","","","211","1986","",""
"","","","","","","","249","1987","",""
"","","","","","","","256","1988","",""
"","","","","","","","286","1989","",""
"","","","","","","","268","1990","",""
"","","","","","","","372","1991","",""
"","","","","","","","405","1992","",""
"","","","","","","","439","1993","",""
"","","","","","","","556","1994","",""
"","","","","","","","706","1995","",""
"","","","","","","","810","1996","",""
"","","","","","","","854","1997","",""
"","","","","","","","1222","1998","",""
"","","","","","","","1207","1999","",""
"","","","","","","","1139","2000","",""
"","","","","","","","1180","2001","",""
"","","","","","","","1263","2002","",""
"","","","","","","","1339","2003","",""
"","","","","","","","1322","2004","",""
"","","","","","","","1172","2005","",""
"","","","","","","","1515","2006","",""
"","","","","","","","1320","2007","",""
"","","","","","","","1499","2008","",""
"","","","","","","","1230","2009","",""
"","","","","","","","1306","2010","",""
"","","","","","","","1415","2011","",""
"","","","","","","","1559","2012","",""
"","","","","","","","1819","2013","",""
"","","","","","","","1855","2014","",""
"","","","","","","","1492","2015","",""
"","","","","","","","1588","2016","",""
"","","","","","","","1543","2017","",""
"Hewlett-Packard Development Company, L.P.","US","TX","30.0797","-95.4169","34045","Spring","1019","2018","",""
"","","","","","","","952","2019","",""
"","","","","","","","70","1976","",""
"","","","","","","","63","1977","",""
"","","","","","","","50","1978","",""
"","","","","","","","63","1979","",""
"","","","","","","","46","1980","",""
"","","","","","","","51","1981","",""
"","","","","","","","50","1982","",""
"","","","","","","","46","1983","",""
"","","","","","","","67","1984","",""
"","","","","","","","57","1985","",""
"","","","","","","","78","1986","",""
"","","","","","","","131","1987","",""
"","","","","","","","153","1988","",""
"","","","","","","","245","1989","",""
"","","","","","","","221","1990","",""
"","","","","","","","331","1991","",""
"","","","","","","","355","1992","",""
"","","","","","","","351","1993","",""
"","","","","","","","438","1994","",""
"","","","","","","","494","1995","",""
"","","","","","","","521","1996","",""
"","","","","","","","556","1997","",""
"","","","","","","","831","1998","",""
"","","","","","","","884","1999","",""
"","","","","","","","970","2000","",""
"","","","","","","","1022","2001","",""
"","","","","","","","1115","2002","",""
"","","","","","","","1771","2003","",""
"","","","","","","","1823","2004","",""
"","","","","","","","1825","2005","",""
"","","","","","","","2189","2006","",""
"","","","","","","","1548","2007","",""
"","","","","","","","1472","2008","",""
"","","","","","","","1301","2009","",""
"","","","","","","","1509","2010","",""
"","","","","","","","1370","2011","",""
"","","","","","","","1448","2012","",""
"","","","","","","","1417","2013","",""
"","","","","","","","1637","2014","",""
"","","","","","","","1391","2015","",""
"","","","","","","","1098","2016","",""
"","","","","","","","1016","2017","",""
